,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,
"Amazon Web Services [c5d.24xlarge]",0.046,"543,000,000",0.076,"657,000,000",0.133,"751,000,000",0.314,"796,000,000",0.618,"809,000,000",1.232,"811,000,000",3.214,"777,000,000",6.830,"732,000,000",14.653,"682,000,000",39.611,"631,000,000",,,,
"Amazon Web Services [c5d.large]",0.484,"51,600,000",1.059,"47,200,000",2.334,"42,800,000",6.794,"36,700,000",14.733,"33,900,000",,,,,,,,,,,,,,
"Amazon Web Services [m6a.48xlarge]",0.055,"454,000,000",0.107,"467,000,000",0.192,"520,000,000",,,,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",0.478,"52,300,000",1.030,"48,500,000",2.230,"44,800,000",6.132,"40,700,000",13.405,"37,200,000",29.300,"34,100,000",,,,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.034,"735,000,000",0.062,"806,000,000",0.107,"934,000,000",0.259,"965,000,000",0.463,"1,070,000,000",0.883,"1,130,000,000",2.231,"1,120,000,000",4.890,"1,020,000,000",10.389,"962,000,000",30.000,"833,000,000",64.036,"780,000,000",135.299,"739,000,000"
"Amazon Web Services [m6i.large]",0.380,"65,700,000",0.843,"59,300,000",1.837,"54,400,000",5.120,"48,800,000",10.981,"45,500,000",23.663,"42,200,000",,,,,,,,,,,,
"Amazon Web Services [m7i.48xlarge]",0.049,"510,000,000",,,,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",0.309,"80,900,000",0.654,"76,400,000",1.414,"70,700,000",4.089,"61,100,000",8.902,"56,100,000",19.476,"51,300,000",,,,,,,,,,,,
"Amazon Web Services [t3.small]",0.561,"44,500,000",1.213,"41,200,000",2.679,"37,300,000",7.755,"32,200,000",,,,,,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",0.625,"40,000,000",1.347,"37,100,000",2.950,"33,800,000",8.038,"31,100,000",17.469,"28,600,000",37.763,"26,400,000",,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",0.078,"320,000,000",0.131,"381,000,000",0.218,"458,000,000",0.441,"566,000,000",0.709,"705,000,000",1.172,"853,000,000",2.955,"846,000,000",6.274,"796,000,000",12.640,"791,000,000",34.976,"714,000,000",73.024,"684,000,000",175.039,"571,000,000"
