,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,
"Amazon Web Services [c5d.24xlarge]",0.617,"40,500,000",1.204,"41,500,000",2.456,"40,700,000",6.248,"40,000,000",12.769,"39,100,000",26.665,"37,500,000",71.995,"34,700,000",155.924,"32,000,000",,,,,,
"Amazon Web Services [c5d.large]",10.528,"2,370,000",23.435,"2,130,000",52.526,"1,900,000",153.389,"1,620,000",338.695,"1,470,000",,,,,,,,,,,,
"Amazon Web Services [m6a.48xlarge]",0.789,"31,600,000",,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",9.535,"2,620,000",21.268,"2,350,000",47.430,"2,100,000",137.512,"1,810,000",304.142,"1,640,000",674.737,"1,480,000",,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.652,"38,300,000",1.073,"46,500,000",2.034,"49,100,000",5.085,"49,100,000",9.958,"50,200,000",20.324,"49,200,000",54.785,"45,600,000",117.430,"42,500,000",254.234,"39,300,000",696.468,"35,800,000",1508.723,"33,100,000"
"Amazon Web Services [m6i.large]",8.357,"2,990,000",18.525,"2,690,000",40.865,"2,440,000",117.028,"2,130,000",256.053,"1,950,000",565.691,"1,760,000",,,,,,,,,,
"Amazon Web Services [m7i.large]",6.312,"3,960,000",13.891,"3,590,000",30.798,"3,240,000",89.827,"2,780,000",199.281,"2,500,000",441.118,"2,260,000",,,,,,,,,,
"Amazon Web Services [t3.small]",12.460,"2,000,000",27.621,"1,810,000",61.408,"1,620,000",178.522,"1,400,000",,,,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",12.743,"1,960,000",28.013,"1,780,000",62.299,"1,600,000",179.934,"1,380,000",397.841,"1,250,000",898.767,"1,110,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",0.876,"28,500,000",1.829,"27,300,000",3.831,"26,100,000",9.190,"27,200,000",16.384,"30,500,000",27.503,"36,300,000",59.006,"42,300,000",,,,,,,,
